epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.937,1.57177,1.99431,1.35329,0.6997,0.76258,0.74388,0.41519,1.35441,1.15098,1.27892,0.00333196,0.00333196,0.00333196
2,1450.02,1.53451,1.33763,1.36133,0.66318,0.75313,0.72608,0.41711,1.31081,1.12912,1.31501,0.0065993,0.0065993,0.0065993
3,2171.66,1.5968,1.41339,1.43491,0.64053,0.7453,0.71113,0.3978,1.35876,1.20275,1.38912,0.00980065,0.00980065,0.00980065
4,2890.88,1.59212,1.37453,1.43937,0.69908,0.77504,0.75551,0.4343,1.25801,1.13119,1.28875,0.009703,0.009703,0.009703
5,3603.65,1.52021,1.26716,1.40482,0.72062,0.79689,0.76949,0.44541,1.26073,1.10696,1.31456,0.009604,0.009604,0.009604
6,4329.91,1.48965,1.2271,1.39718,0.73406,0.81299,0.79516,0.46317,1.22845,1.05061,1.31424,0.009505,0.009505,0.009505
7,5045.43,1.4638,1.18232,1.37836,0.72025,0.81553,0.8043,0.48392,1.19908,0.99738,1.29344,0.009406,0.009406,0.009406
8,5785.26,1.44525,1.14604,1.36872,0.7707,0.82325,0.83137,0.50539,1.19154,0.95854,1.29295,0.009307,0.009307,0.009307
9,6555.28,1.43466,1.11895,1.36156,0.76868,0.84379,0.8362,0.5114,1.20594,0.93777,1.30527,0.009208,0.009208,0.009208
10,7336.46,1.41998,1.10388,1.35252,0.77974,0.83609,0.84052,0.51756,1.17561,0.93238,1.27287,0.009109,0.009109,0.009109
11,8122.19,1.41419,1.07838,1.35017,0.77357,0.85093,0.83838,0.51929,1.17937,0.90668,1.28962,0.00901,0.00901,0.00901
12,8895.83,1.40316,1.07907,1.34215,0.77806,0.85398,0.84406,0.52629,1.16865,0.9087,1.28364,0.008911,0.008911,0.008911
13,9663.92,1.39424,1.06153,1.33464,0.78235,0.8607,0.84523,0.52933,1.15513,0.89925,1.26723,0.008812,0.008812,0.008812
14,10444.4,1.38429,1.0476,1.32959,0.78864,0.85751,0.85078,0.53209,1.1493,0.88978,1.26817,0.008713,0.008713,0.008713
15,11226.2,1.37377,1.03721,1.32564,0.7929,0.86406,0.85756,0.53838,1.15505,0.8722,1.27046,0.008614,0.008614,0.008614
16,11983.8,1.3732,1.03163,1.32789,0.79207,0.857,0.84829,0.53363,1.15232,0.87995,1.25919,0.008515,0.008515,0.008515
17,12698.3,1.36312,1.02366,1.31828,0.79144,0.86909,0.8538,0.53798,1.14598,0.87488,1.26143,0.008416,0.008416,0.008416
