epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.679,1.00919,0.57,1.21982,0.85327,0.88926,0.89671,0.60425,1.08477,0.58778,1.35092,0.00333146,0.00333146,0.00333146
2,307.936,1.05817,0.6065,1.24983,0.83549,0.88257,0.87659,0.57477,1.11002,0.62933,1.36001,0.00663181,0.00663181,0.00663181
3,455.855,1.14582,0.70067,1.3028,0.82981,0.88316,0.8842,0.57789,1.10008,0.67647,1.35605,0.00989915,0.00989915,0.00989915
4,602.556,1.23461,0.81145,1.36408,0.81386,0.89752,0.87998,0.55839,1.14437,0.69478,1.4126,0.0098515,0.0098515,0.0098515
5,749.066,1.24624,0.82407,1.37228,0.83457,0.88955,0.89119,0.56967,1.14589,0.71798,1.42012,0.009802,0.009802,0.009802
6,895.267,1.255,0.82505,1.38918,0.8333,0.87924,0.87284,0.56974,1.12125,0.6888,1.36055,0.0097525,0.0097525,0.0097525
7,1041.76,1.25406,0.82542,1.39222,0.83873,0.86829,0.87656,0.57215,1.10253,0.71315,1.33522,0.009703,0.009703,0.009703
8,1188.94,1.24995,0.81839,1.38142,0.83428,0.89083,0.88449,0.57388,1.09741,0.69758,1.36336,0.0096535,0.0096535,0.0096535
9,1336.13,1.24829,0.82399,1.38255,0.82887,0.89809,0.89685,0.58722,1.08885,0.6639,1.36609,0.009604,0.009604,0.009604
10,1483.07,1.2383,0.80966,1.38155,0.84078,0.88851,0.89559,0.58883,1.07189,0.65471,1.33433,0.0095545,0.0095545,0.0095545
11,1629.84,1.23942,0.79854,1.37929,0.82911,0.90526,0.89368,0.58953,1.07246,0.64792,1.33797,0.009505,0.009505,0.009505
