epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1371,1.64492,1.79552,1.53106,0.30768,0.377,0.27089,0.08608,2.45565,3.45226,2.37312,0.00041597,0.00041597,0.00041597
2,171.656,1.44794,1.14377,1.45726,0.31523,0.33837,0.28021,0.08024,2.55936,3.39058,2.53322,0.000791421,0.000791421,0.000791421
3,258.881,1.39146,1.07372,1.43069,0.32925,0.33589,0.27586,0.07911,2.5876,3.58615,2.543,0.00112562,0.00112562,0.00112562
4,344.969,1.34383,1.00664,1.40419,0.34989,0.31611,0.2641,0.07449,2.70382,3.24497,2.69717,0.00106437,0.00106437,0.00106437
5,431.823,1.27981,0.94136,1.36356,0.33048,0.34877,0.27374,0.07721,2.68116,3.77042,2.72967,0.0010025,0.0010025,0.0010025
6,516.386,1.22965,0.8933,1.33426,0.34758,0.32328,0.27706,0.07889,2.61963,3.55473,2.64866,0.000940625,0.000940625,0.000940625
7,598.439,1.19704,0.85817,1.31039,0.33811,0.31326,0.26327,0.07433,2.70721,3.74327,2.86234,0.00087875,0.00087875,0.00087875
8,680.075,1.15344,0.82241,1.28347,0.31093,0.30513,0.24728,0.06926,2.69737,3.74599,2.8233,0.000816875,0.000816875,0.000816875
9,762.976,1.12591,0.79546,1.26977,0.34026,0.33277,0.27198,0.0785,2.69271,3.74008,2.84828,0.000755,0.000755,0.000755
10,849.579,1.09007,0.7738,1.24618,0.35459,0.32555,0.27282,0.07997,2.67795,3.65768,2.85696,0.000693125,0.000693125,0.000693125
11,934.344,1.01812,0.6912,1.20423,0.35237,0.34111,0.28537,0.08156,2.71981,3.84362,2.98445,0.00063125,0.00063125,0.00063125
12,1019.13,0.98544,0.66103,1.18498,0.34805,0.32253,0.27543,0.08006,2.70484,3.84239,2.85961,0.000569375,0.000569375,0.000569375
13,1104.61,0.96666,0.64563,1.17293,0.34589,0.33289,0.28489,0.08387,2.6826,3.84743,2.90687,0.0005075,0.0005075,0.0005075
14,1188.47,0.94205,0.63337,1.1544,0.33987,0.32707,0.268,0.07548,2.77088,4.04204,3.1006,0.000445625,0.000445625,0.000445625
15,1272.78,0.9217,0.6129,1.14528,0.33364,0.33067,0.27009,0.07821,2.73992,3.8272,3.05191,0.00038375,0.00038375,0.00038375
16,1358.92,0.88299,0.58226,1.12283,0.34435,0.32678,0.27297,0.07722,2.79459,3.91077,3.13608,0.000321875,0.000321875,0.000321875
17,1442.94,0.8641,0.57473,1.11376,0.33714,0.32847,0.27394,0.07883,2.80371,3.94584,3.17549,0.00026,0.00026,0.00026
18,1527.16,0.84442,0.55544,1.10361,0.34754,0.3138,0.26738,0.07619,2.82662,3.99883,3.20433,0.000198125,0.000198125,0.000198125
19,1610.63,0.81361,0.53367,1.08008,0.32973,0.32428,0.26331,0.07545,2.79972,4.13932,3.25785,0.00013625,0.00013625,0.00013625
20,1693.74,0.79646,0.52149,1.07472,0.34297,0.31731,0.27343,0.07717,2.82104,4.14056,3.28987,7.4375e-05,7.4375e-05,7.4375e-05
