epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2451,2.07583,1.51019,1.23867,0.63198,0.72056,0.68912,0.34317,1.62043,0.97646,1.10697,0.000409605,0.000409605,0.000409605
2,35.3963,1.82113,1.38423,1.13513,0.64717,0.7538,0.69437,0.34828,1.56124,0.92983,1.08079,0.000785371,0.000785371,0.000785371
3,53.2761,1.72508,1.24251,1.09913,0.69299,0.78339,0.74473,0.38828,1.45585,0.88577,1.056,0.00111989,0.00111989,0.00111989
4,70.8366,1.71204,1.23386,1.09183,0.6353,0.7777,0.74171,0.38589,1.49928,0.92268,1.05932,0.00106437,0.00106437,0.00106437
5,88.77,1.68597,1.22054,1.08593,0.70875,0.76718,0.72702,0.37973,1.46753,0.89291,1.04892,0.0010025,0.0010025,0.0010025
6,106.553,1.72433,1.39102,1.08522,0.73006,0.77457,0.75808,0.40465,1.38609,0.87096,1.02589,0.000940625,0.000940625,0.000940625
