,prefix,TP,FP,FN,precision,recall
BRAIIM,2120,1757,2249,0.5468145473304101,0.4852368963149462
BRAIIM,2115,1567,2254,0.5744160782183596,0.484092469672694
BRAIIM,2027,1656,2342,0.5503665490089601,0.4639505607690547
BRAIIM,2105,1733,2264,0.5484627410109432,0.4818036163881895
BRAIIM,2119,1748,2250,0.5479700025859839,0.48500801098649576
BRAIIM,1828,1335,2541,0.5779323427126146,0.4184023804074159
BRAIIM,1975,1542,2394,0.5615581461472846,0.4520485236896315
BRAIIM,2091,1710,2278,0.5501183898973955,0.4785992217898833
BRAIIM,817,461,3552,0.6392801251956182,0.18699931334401465
BRAIIM,2067,1416,2302,0.5934539190353144,0.47310597390707254
BRAIIM,2862,1015,1507,0.7381996388960537,0.6550698100251774
BRAIIM,2078,612,2291,0.7724907063197026,0.47562371252002744
