,prefix,TP,FP,FN,precision,recall
0,BRAIIM,2078,612,2291,0.7724907063197026,0.47562371252002744
1,LIRIBO,2733,406,2121,0.8706594456833386,0.5630407911001236
2,TRIAVA,1919,244,5892,0.8871937124364309,0.24567917040071693
