epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1684,1.6243,1.71787,1.33539,0.59114,0.36466,0.28413,0.08683,2.56519,3.14329,2.26238,0.000415972,0.000415972,0.000415972
2,174.613,1.37674,1.07968,1.2294,0.30243,0.36145,0.29808,0.09217,2.49679,3.48954,2.10879,0.000750208,0.000750208,0.000750208
3,255.999,1.28725,0.97704,1.20608,0.39072,0.3141,0.29696,0.08645,2.58066,3.45201,2.3084,0.00100194,0.00100194,0.00100194
4,337.657,1.22717,0.88733,1.19089,0.37937,0.35086,0.30212,0.08852,2.60543,3.43641,2.42631,0.00087875,0.00087875,0.00087875
5,418.272,1.1514,0.8187,1.15493,0.32291,0.30471,0.23364,0.06639,2.69285,3.69059,2.50909,0.000755,0.000755,0.000755
6,500.332,1.09243,0.76422,1.13054,0.37563,0.33656,0.29914,0.08453,2.63696,3.82009,2.50003,0.00063125,0.00063125,0.00063125
7,581.573,1.04197,0.72037,1.10961,0.3734,0.34157,0.29954,0.08647,2.67186,3.58632,2.546,0.0005075,0.0005075,0.0005075
8,662.889,0.99434,0.68705,1.09211,0.36147,0.34047,0.29028,0.08227,2.68969,4.00156,2.66703,0.00038375,0.00038375,0.00038375
9,743.248,0.94641,0.64002,1.07471,0.35546,0.33867,0.29058,0.08018,2.74167,3.7861,2.71814,0.00026,0.00026,0.00026
10,824.411,0.89132,0.60497,1.04627,0.3494,0.33865,0.2743,0.0784,2.73435,4.14487,2.82711,0.00013625,0.00013625,0.00013625
