epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.209,1.53505,1.82004,1.32497,0.71376,0.76646,0.74813,0.42205,1.3062,1.19964,1.24624,0.00333196,0.00333196,0.00333196
2,423.265,1.48655,1.27009,1.35273,0.68588,0.78042,0.75046,0.42776,1.30335,1.13508,1.30666,0.0065993,0.0065993,0.0065993
3,626.118,1.53117,1.34399,1.42301,0.65444,0.78544,0.75447,0.41776,1.32145,1.17135,1.35179,0.00980065,0.00980065,0.00980065
4,828.21,1.52741,1.29973,1.45805,0.6851,0.77158,0.7486,0.42763,1.25709,1.20392,1.33224,0.009703,0.009703,0.009703
5,1028.77,1.45569,1.21007,1.42295,0.72819,0.81583,0.79267,0.46357,1.24027,1.08773,1.33567,0.009604,0.009604,0.009604
6,1229.8,1.43741,1.15926,1.4246,0.76315,0.82992,0.82208,0.48486,1.24082,0.98993,1.34968,0.009505,0.009505,0.009505
7,1430.61,1.41253,1.12864,1.41818,0.76229,0.81584,0.82397,0.50013,1.1915,0.96311,1.33031,0.009406,0.009406,0.009406
8,1631.78,1.39424,1.09204,1.40683,0.75554,0.8347,0.82228,0.50675,1.20046,0.94029,1.33862,0.009307,0.009307,0.009307
9,1832.5,1.38445,1.07565,1.4107,0.76527,0.85132,0.83729,0.52126,1.17417,0.93609,1.32204,0.009208,0.009208,0.009208
10,2032.99,1.37692,1.05166,1.40941,0.7746,0.8471,0.8332,0.51892,1.17184,0.9168,1.31672,0.009109,0.009109,0.009109
11,2232.82,1.3668,1.04042,1.39869,0.77396,0.85713,0.84125,0.52668,1.16763,0.89095,1.33451,0.00901,0.00901,0.00901
12,2433.44,1.35962,1.03161,1.39823,0.77626,0.86425,0.84418,0.52537,1.16286,0.89848,1.32759,0.008911,0.008911,0.008911
13,2633.67,1.35262,1.01638,1.39898,0.78455,0.85881,0.84706,0.53555,1.14945,0.87696,1.31235,0.008812,0.008812,0.008812
14,2834.09,1.3418,0.99881,1.40059,0.78442,0.87078,0.85477,0.53922,1.14863,0.87526,1.32265,0.008713,0.008713,0.008713
15,3034.53,1.33864,0.9878,1.39217,0.79048,0.86576,0.85506,0.54187,1.152,0.86453,1.32159,0.008614,0.008614,0.008614
16,3235.12,1.33087,0.98614,1.3883,0.79455,0.86123,0.8531,0.54381,1.14661,0.85776,1.31823,0.008515,0.008515,0.008515
17,3435.7,1.32836,0.97522,1.38716,0.7943,0.872,0.85731,0.54674,1.14209,0.85813,1.31227,0.008416,0.008416,0.008416
18,3636.3,1.33027,0.96009,1.39444,0.7912,0.87243,0.85778,0.54685,1.14588,0.85126,1.32733,0.008317,0.008317,0.008317
19,3836.76,1.32679,0.96161,1.39063,0.793,0.87386,0.8603,0.5485,1.14344,0.84847,1.32736,0.008218,0.008218,0.008218
20,4037.84,1.30963,0.94983,1.37895,0.78612,0.8772,0.85775,0.54788,1.14203,0.85067,1.32529,0.008119,0.008119,0.008119
21,4238.4,1.31348,0.94383,1.3806,0.79007,0.87894,0.8591,0.54892,1.14287,0.85162,1.32561,0.00802,0.00802,0.00802
22,4439.09,1.31514,0.94087,1.3908,0.7894,0.879,0.85928,0.55049,1.14179,0.84327,1.32746,0.007921,0.007921,0.007921
23,4638.87,1.30943,0.92515,1.38648,0.78984,0.88128,0.86078,0.55209,1.14092,0.84129,1.32772,0.007822,0.007822,0.007822
24,4839.49,1.30195,0.92938,1.38457,0.78933,0.88188,0.86129,0.55362,1.13836,0.83849,1.32737,0.007723,0.007723,0.007723
25,5039.92,1.30611,0.91941,1.38639,0.78843,0.8833,0.86223,0.55553,1.13591,0.836,1.32577,0.007624,0.007624,0.007624
26,5240.59,1.29587,0.90429,1.38695,0.79167,0.88185,0.86241,0.55647,1.13481,0.83341,1.32648,0.007525,0.007525,0.007525
27,5440.42,1.29124,0.89786,1.37916,0.79171,0.88483,0.86213,0.55683,1.13511,0.83125,1.32743,0.007426,0.007426,0.007426
28,5640.74,1.30022,0.9006,1.38686,0.79179,0.88283,0.86272,0.55666,1.1354,0.82981,1.32792,0.007327,0.007327,0.007327
29,5841.28,1.28497,0.89504,1.38179,0.79231,0.88283,0.863,0.55682,1.13454,0.82707,1.32786,0.007228,0.007228,0.007228
30,6041.53,1.28679,0.88629,1.3811,0.79552,0.88034,0.86356,0.55755,1.13483,0.82414,1.32883,0.007129,0.007129,0.007129
31,6242.02,1.28239,0.87694,1.37986,0.79651,0.88046,0.86405,0.55837,1.13438,0.82147,1.32868,0.00703,0.00703,0.00703
32,6442.48,1.27811,0.87342,1.37479,0.79738,0.87876,0.86437,0.55893,1.13429,0.82015,1.32833,0.006931,0.006931,0.006931
33,6643.4,1.28869,0.86389,1.3775,0.79772,0.88006,0.86511,0.55969,1.13535,0.81744,1.32929,0.006832,0.006832,0.006832
