,prefix,TP,FP,FN,precision,recall
0,BRAIIM,2578,2867,1905,0.47346189164370983,0.5750613428507696
1,LIRIBO,3338,4998,1594,0.40043186180422263,0.6768045417680454
2,TRIAVA,1121,2198,6819,0.3377523350406749,0.141183879093199
