epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1773,1.61191,1.83721,1.46811,0.58338,0.30405,0.25594,0.07927,2.45774,4.11274,2.41629,0.000415896,0.000415896,0.000415896
2,166.217,1.39873,1.12003,1.40234,0.26355,0.31342,0.19208,0.05,2.66193,4.01416,2.78895,0.000791351,0.000791351,0.000791351
3,245.964,1.33664,1.04054,1.37156,0.36685,0.33607,0.28224,0.08185,2.56696,4.65714,2.67092,0.00112556,0.00112556,0.00112556
4,326.825,1.26176,0.96213,1.32357,0.54318,0.30744,0.29999,0.08256,2.62052,3.78164,2.81587,0.00106437,0.00106437,0.00106437
5,405.36,1.20795,0.87306,1.28845,0.38836,0.35088,0.2829,0.07647,2.60688,3.89265,2.86874,0.0010025,0.0010025,0.0010025
6,484.105,1.16584,0.84429,1.26515,0.37718,0.34157,0.28174,0.0788,2.628,4.21275,2.8537,0.000940625,0.000940625,0.000940625
7,561.11,1.14868,0.83912,1.26159,0.3829,0.33899,0.30518,0.08768,2.64016,4.0486,2.90651,0.00087875,0.00087875,0.00087875
8,639.025,1.10328,0.79299,1.23116,0.39788,0.34305,0.30028,0.08323,2.7057,3.71374,2.97317,0.000816875,0.000816875,0.000816875
9,716.081,1.09638,0.76175,1.22475,0.41149,0.37726,0.33253,0.09446,2.64789,3.76889,3.02218,0.000755,0.000755,0.000755
10,793.372,1.06375,0.75361,1.20261,0.34755,0.325,0.27155,0.0771,2.68157,3.93074,3.00242,0.000693125,0.000693125,0.000693125
11,870.648,0.95151,0.63948,1.14047,0.41229,0.35319,0.31413,0.08854,2.70447,4.10242,3.08044,0.00063125,0.00063125,0.00063125
12,948.525,0.93644,0.6165,1.13329,0.40285,0.35631,0.32435,0.09502,2.66625,3.65236,3.02334,0.000569375,0.000569375,0.000569375
13,1028.89,0.913,0.60279,1.11945,0.39688,0.33871,0.31106,0.08945,2.74608,3.86864,3.18738,0.0005075,0.0005075,0.0005075
14,1103.81,0.88318,0.57783,1.10027,0.38944,0.35647,0.3177,0.093,2.72966,3.72014,3.20548,0.000445625,0.000445625,0.000445625
15,1180.2,0.86019,0.558,1.08549,0.38702,0.34526,0.31783,0.09268,2.7566,3.95724,3.28727,0.00038375,0.00038375,0.00038375
16,1254.57,0.84383,0.54477,1.0791,0.3954,0.35003,0.32122,0.09344,2.76426,3.74731,3.34091,0.000321875,0.000321875,0.000321875
17,1333.51,0.81545,0.5254,1.06372,0.37379,0.33476,0.30467,0.08767,2.77698,3.96839,3.32681,0.00026,0.00026,0.00026
18,1411.57,0.7965,0.51415,1.05411,0.40646,0.3332,0.3115,0.09075,2.79356,3.92421,3.45936,0.000198125,0.000198125,0.000198125
19,1486.12,0.77403,0.4913,1.03794,0.64875,0.34125,0.31312,0.09195,2.78714,3.8683,3.41923,0.00013625,0.00013625,0.00013625
20,1561.31,0.75647,0.47948,1.029,0.64783,0.34008,0.31429,0.09215,2.7943,3.93957,3.48641,7.4375e-05,7.4375e-05,7.4375e-05
