prefix,TP,FP,FN,precision,recall


BRAIIM,2772,875,1600,0.7600767754318618,0.6340347666971637
LIRIBO,3324,325,1530,0.910934502603453,0.6847960444993819
TRIAVA,1886,314,5925,0.8572727272727273,0.2414543592369735
