epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.689,1.74183,2.17264,1.49364,0.50465,0.30325,0.28064,0.07873,2.52861,3.61096,2.35161,0.000416184,0.000416184,0.000416184
2,410.875,1.57151,1.55908,1.46962,0.33238,0.36222,0.29838,0.08284,2.62374,3.64521,2.51278,0.000791624,0.000791624,0.000791624
3,631.405,1.50071,1.44323,1.43045,0.331,0.37539,0.28939,0.08063,2.56005,3.53784,2.40559,0.00112581,0.00112581,0.00112581
4,787.192,1.44021,1.36227,1.39238,0.37214,0.32923,0.30601,0.08593,2.58306,3.38289,2.51713,0.00106437,0.00106437,0.00106437
5,936.584,1.38474,1.28982,1.36062,0.34745,0.338,0.29023,0.0777,2.64603,3.61062,2.62018,0.0010025,0.0010025,0.0010025
6,1085.22,1.30234,1.19991,1.31532,0.37438,0.32931,0.30113,0.08872,2.6119,3.56199,2.57614,0.000940625,0.000940625,0.000940625
7,1237,1.28915,1.17094,1.31109,0.3932,0.35168,0.31631,0.08776,2.62928,3.49888,2.60837,0.00087875,0.00087875,0.00087875
8,1387.86,1.25281,1.14545,1.29019,0.35285,0.35339,0.31485,0.08675,2.66506,3.5499,2.67597,0.000816875,0.000816875,0.000816875
9,1536.91,1.22236,1.11272,1.27258,0.36442,0.34845,0.30089,0.08467,2.63475,3.72573,2.66001,0.000755,0.000755,0.000755
10,1683.76,1.18986,1.0697,1.25955,0.39746,0.32233,0.31761,0.09244,2.62728,3.57603,2.61516,0.000693125,0.000693125,0.000693125
11,1830.99,1.10227,0.97291,1.20702,0.35562,0.35712,0.31854,0.09328,2.69591,3.63236,2.7294,0.00063125,0.00063125,0.00063125
12,1979.54,1.0745,0.94606,1.19289,0.3591,0.33568,0.30409,0.0881,2.70885,3.85209,2.88852,0.000569375,0.000569375,0.000569375
13,2125.97,1.05631,0.92529,1.18433,0.38016,0.32971,0.29767,0.08339,2.76063,3.82034,2.94975,0.0005075,0.0005075,0.0005075
14,2271.63,1.04211,0.91433,1.17404,0.356,0.3494,0.29963,0.08311,2.79235,3.80805,2.95309,0.000445625,0.000445625,0.000445625
15,2419.93,1.01867,0.88547,1.16382,0.38255,0.33975,0.30531,0.08698,2.71354,3.77461,2.95557,0.00038375,0.00038375,0.00038375
16,2568.89,0.97641,0.85565,1.14174,0.38641,0.31947,0.29602,0.08206,2.78523,3.80472,3.03484,0.000321875,0.000321875,0.000321875
17,2715.96,0.95188,0.83279,1.13402,0.36689,0.3285,0.29922,0.08492,2.77304,3.82429,2.99731,0.00026,0.00026,0.00026
18,2830.05,0.92964,0.82042,1.11585,0.36426,0.31935,0.29089,0.08118,2.80511,3.95619,3.10688,0.000198125,0.000198125,0.000198125
19,2925.45,0.92002,0.79638,1.10766,0.36733,0.32525,0.30056,0.08481,2.82063,3.94479,3.14904,0.00013625,0.00013625,0.00013625
20,3020.63,0.88241,0.78523,1.09445,0.39152,0.31778,0.29878,0.08439,2.8414,3.9597,3.19036,7.4375e-05,7.4375e-05,7.4375e-05
