epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.692,1.72505,2.17722,1.51997,0.31072,0.40331,0.31304,0.09099,2.35939,3.41159,2.09292,0.000416184,0.000416184,0.000416184
2,212.773,1.5871,1.5643,1.50556,0.36091,0.32921,0.30318,0.09084,2.59537,3.25961,2.39717,0.000791624,0.000791624,0.000791624
3,314.301,1.52214,1.43553,1.4689,0.27686,0.36282,0.24364,0.06897,2.54598,3.43138,2.34871,0.00112581,0.00112581,0.00112581
4,414.529,1.44156,1.35422,1.4214,0.38057,0.35896,0.31006,0.08675,2.63631,3.43827,2.633,0.00106437,0.00106437,0.00106437
5,514.468,1.37375,1.25972,1.37655,0.38021,0.36407,0.32058,0.09109,2.65741,3.43916,2.63877,0.0010025,0.0010025,0.0010025
6,613.062,1.31018,1.1946,1.34428,0.39796,0.31227,0.30075,0.08626,2.69608,3.53437,2.68607,0.000940625,0.000940625,0.000940625
7,712.425,1.29345,1.15688,1.33373,0.37217,0.3487,0.2956,0.07972,2.70454,3.53681,2.79395,0.00087875,0.00087875,0.00087875
8,811.574,1.24849,1.121,1.31467,0.36261,0.33646,0.29874,0.08374,2.71191,3.49213,2.71246,0.000816875,0.000816875,0.000816875
9,911.395,1.22489,1.10211,1.29666,0.36229,0.35234,0.30913,0.08595,2.65549,3.48435,2.73196,0.000755,0.000755,0.000755
10,1009.39,1.19902,1.07362,1.2826,0.39834,0.31778,0.30557,0.08731,2.74809,3.58436,2.85668,0.000693125,0.000693125,0.000693125
11,1108.96,1.10064,0.96794,1.22989,0.34425,0.33434,0.28522,0.08071,2.78063,3.77295,2.87349,0.00063125,0.00063125,0.00063125
12,1207.43,1.08273,0.94542,1.21739,0.36176,0.34212,0.29995,0.0843,2.76618,3.81811,2.93486,0.000569375,0.000569375,0.000569375
13,1305.55,1.06893,0.92896,1.20486,0.35958,0.32149,0.28015,0.07685,2.78321,3.85495,2.98306,0.0005075,0.0005075,0.0005075
14,1403.7,1.04748,0.91712,1.19239,0.35869,0.32688,0.29088,0.08048,2.81705,3.88279,3.03917,0.000445625,0.000445625,0.000445625
15,1501.68,1.01746,0.88178,1.17322,0.35388,0.3326,0.29458,0.08389,2.73248,3.86391,2.98034,0.00038375,0.00038375,0.00038375
16,1599.39,0.98683,0.85763,1.16344,0.36581,0.31306,0.28863,0.08004,2.77413,3.97599,3.07351,0.000321875,0.000321875,0.000321875
17,1697.54,0.96528,0.83827,1.15313,0.37155,0.33789,0.29958,0.08566,2.73897,3.95213,3.02793,0.00026,0.00026,0.00026
18,1795.92,0.93695,0.82284,1.1334,0.37707,0.31991,0.29297,0.08073,2.77327,4.02314,3.15114,0.000198125,0.000198125,0.000198125
19,1893.74,0.92127,0.80111,1.12322,0.3664,0.32164,0.29524,0.08171,2.80041,4.02186,3.18698,0.00013625,0.00013625,0.00013625
20,1991.9,0.8906,0.78285,1.10896,0.38256,0.3211,0.29637,0.08127,2.79264,4.03176,3.21394,7.4375e-05,7.4375e-05,7.4375e-05
