epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2022,1.62234,1.79799,1.42678,0.5702,0.34704,0.28238,0.08243,2.52663,3.60253,2.49893,0.000415896,0.000415896,0.000415896
2,165.7,1.36383,1.06473,1.3442,0.40827,0.34416,0.29872,0.09009,2.55744,3.66697,2.51928,0.000750139,0.000750139,0.000750139
3,244.065,1.28376,0.98336,1.30451,0.35657,0.33739,0.27707,0.07586,2.6927,3.45997,2.71411,0.00100188,0.00100188,0.00100188
4,320.385,1.21856,0.89626,1.27836,0.36187,0.34195,0.28571,0.08278,2.60037,3.49659,2.69136,0.00087875,0.00087875,0.00087875
5,397.021,1.14674,0.81943,1.22893,0.35123,0.34362,0.29547,0.08427,2.6717,3.83154,2.74633,0.000755,0.000755,0.000755
6,473.242,1.08692,0.76797,1.20584,0.41523,0.34899,0.31924,0.09147,2.64202,3.6521,2.77777,0.00063125,0.00063125,0.00063125
7,549.69,1.03358,0.71857,1.17286,0.36627,0.336,0.28653,0.07842,2.74749,3.69409,2.90373,0.0005075,0.0005075,0.0005075
8,625.551,0.98368,0.67856,1.14177,0.38444,0.33758,0.29894,0.08627,2.74505,3.73748,2.92733,0.00038375,0.00038375,0.00038375
9,700.795,0.94164,0.63558,1.12188,0.38931,0.35186,0.32105,0.09599,2.66717,3.80831,2.88851,0.00026,0.00026,0.00026
10,776.266,0.88692,0.59739,1.08776,0.38525,0.33773,0.30119,0.08727,2.72679,3.77024,2.93888,0.00013625,0.00013625,0.00013625
