epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.434,1.72622,2.12069,1.51244,0.56494,0.27524,0.23317,0.06468,2.53342,4.91001,2.28025,0.000416184,0.000416184,0.000416184
2,208.858,1.566,1.52819,1.47426,0.31889,0.37031,0.30589,0.09001,2.50795,3.39167,2.29231,0.000791624,0.000791624,0.000791624
3,309.804,1.48672,1.3811,1.43637,0.30019,0.33643,0.25326,0.06879,2.58341,3.93042,2.48575,0.00112581,0.00112581,0.00112581
4,407.557,1.41975,1.29783,1.39777,0.38458,0.3797,0.32743,0.09171,2.58208,3.34301,2.54945,0.00106437,0.00106437,0.00106437
5,505.219,1.35815,1.2372,1.35873,0.37574,0.36063,0.32324,0.09454,2.60794,3.56864,2.61906,0.0010025,0.0010025,0.0010025
6,603.553,1.30187,1.15086,1.32999,0.39792,0.33995,0.32017,0.08942,2.59758,3.29736,2.55581,0.000940625,0.000940625,0.000940625
7,701.044,1.28539,1.13946,1.32364,0.38475,0.34295,0.29923,0.08067,2.63758,3.70442,2.63903,0.00087875,0.00087875,0.00087875
8,798.398,1.2376,1.09949,1.29665,0.34023,0.33914,0.28779,0.07694,2.71632,3.4982,2.74688,0.000816875,0.000816875,0.000816875
9,894.908,1.21068,1.06169,1.28473,0.37105,0.34384,0.29957,0.08302,2.70319,3.61235,2.85628,0.000755,0.000755,0.000755
10,991.256,1.17472,1.03766,1.26668,0.38255,0.32229,0.29009,0.08001,2.68941,3.73155,2.82739,0.000693125,0.000693125,0.000693125
11,1087.12,1.08821,0.93609,1.21372,0.37158,0.35739,0.30858,0.08617,2.74606,3.56575,2.89106,0.00063125,0.00063125,0.00063125
12,1182.49,1.06546,0.91083,1.20255,0.38813,0.34093,0.30666,0.08599,2.70707,3.73611,2.88364,0.000569375,0.000569375,0.000569375
13,1278.41,1.04319,0.89286,1.18849,0.3584,0.33656,0.28839,0.07972,2.75326,3.89099,2.95674,0.0005075,0.0005075,0.0005075
14,1373.8,1.02409,0.87584,1.17397,0.37556,0.33137,0.29313,0.07916,2.7678,3.66569,2.99537,0.000445625,0.000445625,0.000445625
15,1469.06,1.00388,0.84985,1.16403,0.38637,0.32915,0.30368,0.08551,2.73934,3.77019,2.98244,0.00038375,0.00038375,0.00038375
16,1564.63,0.97079,0.82532,1.15053,0.36973,0.33102,0.29256,0.07947,2.7978,3.85716,3.06695,0.000321875,0.000321875,0.000321875
17,1659.41,0.94803,0.79944,1.1381,0.39836,0.32231,0.29637,0.08218,2.81284,3.76561,3.15115,0.00026,0.00026,0.00026
18,1754.73,0.91779,0.78891,1.12159,0.3857,0.31382,0.28639,0.07722,2.81477,3.89431,3.1836,0.000198125,0.000198125,0.000198125
19,1849.69,0.90633,0.77173,1.11149,0.38641,0.32005,0.29638,0.0808,2.82444,3.9356,3.22351,0.00013625,0.00013625,0.00013625
20,1945.28,0.87837,0.75892,1.10289,0.39793,0.32425,0.29721,0.0798,2.85024,3.85564,3.30389,7.4375e-05,7.4375e-05,7.4375e-05
