FRANOC,1386,1469,3527,0.4854640980735552,0.282108691227356
FRANOC,2291,24381,2622,0.08589532093581284,0.46631386118461227
FRANOC,1412,1782,3501,0.44207889793362554,0.2874007734581722
FRANOC,1412,1741,3501,0.44782746590548683,0.2874007734581722

min, max
100 1000
0 10000
100 10000
100 5000
