epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9751,1.60657,1.73543,1.49985,0.26674,0.33314,0.23557,0.07212,2.52781,3.39966,2.46309,0.000415938,0.000415938,0.000415938
2,169.585,1.38575,1.04068,1.41117,0.32048,0.34198,0.25594,0.07316,2.62259,3.70526,2.57616,0.000750177,0.000750177,0.000750177
3,258.658,1.29176,0.95113,1.36027,0.3507,0.32046,0.26457,0.07211,2.74658,3.41268,2.84894,0.00100192,0.00100192,0.00100192
4,384.8,1.23293,0.88292,1.32397,0.35641,0.32255,0.28006,0.08094,2.67189,3.50177,2.70508,0.00087875,0.00087875,0.00087875
5,514.2,1.16606,0.81883,1.27896,0.3358,0.3049,0.25845,0.07607,2.73052,3.70943,2.79806,0.000755,0.000755,0.000755
6,639.881,1.09504,0.74764,1.23783,0.37357,0.34194,0.29274,0.08428,2.69811,3.53645,2.89186,0.00063125,0.00063125,0.00063125
7,742.348,1.04295,0.70866,1.21034,0.31996,0.33449,0.26064,0.07682,2.69969,3.74091,2.80891,0.0005075,0.0005075,0.0005075
8,821.843,1.01541,0.67921,1.19169,0.31188,0.30812,0.24297,0.07028,2.73324,3.85008,2.90384,0.00038375,0.00038375,0.00038375
9,899.623,0.94889,0.64118,1.15401,0.35711,0.32397,0.2744,0.07908,2.7211,3.87469,2.97264,0.00026,0.00026,0.00026
10,976.94,0.90626,0.60618,1.1279,0.36546,0.3089,0.27202,0.07898,2.76773,3.77628,3.02789,0.00013625,0.00013625,0.00013625
