epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8081,1.20868,0.64397,0.95142,0.66069,0.70881,0.64081,0.20956,2.47977,1.11647,1.50861,0.000405983,0.000405983,0.000405983
2,24.0133,1.22147,0.64292,0.9617,0.69592,0.74632,0.68993,0.23173,2.43468,1.01407,1.48333,0.000781928,0.000781928,0.000781928
3,35.657,1.23472,0.64206,0.95973,0.66246,0.72475,0.63748,0.21495,2.38887,1.05332,1.46805,0.00111662,0.00111662,0.00111662
4,47.6641,1.25245,0.68957,0.9608,0.61024,0.69212,0.61293,0.20947,2.45442,1.13329,1.49695,0.00106437,0.00106437,0.00106437
5,58.5155,1.29752,0.69413,0.9707,0.66174,0.69939,0.61685,0.19847,2.51412,1.00755,1.5398,0.0010025,0.0010025,0.0010025
6,70.6509,1.24617,0.64527,0.96105,0.64295,0.70385,0.63826,0.20984,2.50604,1.09964,1.532,0.000940625,0.000940625,0.000940625
7,82.4013,1.23716,0.64434,0.95564,0.62214,0.67887,0.59623,0.19613,2.51662,1.08026,1.53588,0.00087875,0.00087875,0.00087875
8,93.6919,1.31118,0.65315,0.97903,0.68182,0.73211,0.66762,0.22163,2.43698,1.04675,1.48437,0.000816875,0.000816875,0.000816875
9,105.337,1.24551,0.62495,0.9562,0.68027,0.71148,0.65823,0.2136,2.47985,1.07372,1.514,0.000755,0.000755,0.000755
10,117.135,1.21697,0.61268,0.95908,0.68156,0.72689,0.66919,0.2245,2.43819,1.00331,1.49644,0.000693125,0.000693125,0.000693125
11,133.531,1.18032,0.582,0.94846,0.69678,0.73313,0.67099,0.21818,2.46993,0.99075,1.53588,0.00063125,0.00063125,0.00063125
12,144.623,1.16608,0.57511,0.93706,0.68022,0.73933,0.66583,0.21406,2.47454,1.04014,1.53134,0.000569375,0.000569375,0.000569375
13,156.042,1.15083,0.57316,0.93567,0.68999,0.74685,0.67216,0.21318,2.50784,0.98952,1.5689,0.0005075,0.0005075,0.0005075
14,167.446,1.16293,0.57729,0.94236,0.71452,0.75483,0.70069,0.22917,2.44404,1.00546,1.52528,0.000445625,0.000445625,0.000445625
15,178.654,1.15274,0.56155,0.94101,0.70385,0.75374,0.69273,0.22546,2.47882,1.00549,1.54091,0.00038375,0.00038375,0.00038375
16,189.872,1.12805,0.5464,0.93554,0.67503,0.7203,0.64548,0.20627,2.50561,1.0356,1.54599,0.000321875,0.000321875,0.000321875
17,201.377,1.11814,0.54242,0.92612,0.69853,0.7516,0.68407,0.22484,2.46282,0.9889,1.54692,0.00026,0.00026,0.00026
18,212.797,1.11344,0.53706,0.92563,0.68794,0.7435,0.67413,0.22255,2.45642,1.00701,1.5301,0.000198125,0.000198125,0.000198125
19,224.005,1.10042,0.52694,0.92446,0.6766,0.73117,0.66033,0.21681,2.47874,1.01561,1.53619,0.00013625,0.00013625,0.00013625
20,235.307,1.09019,0.52182,0.91982,0.68103,0.73143,0.66931,0.2174,2.50045,1.02548,1.55686,7.4375e-05,7.4375e-05,7.4375e-05
